longitude_metair,latitude_metair
60.5675132,56.8188363
60.5808741,56.8187343
60.5733865,56.8251665
60.5810073,56.8216608
60.5811284,56.8196149
60.5804774,56.8219531
60.5767732,56.8226007
60.5747543,56.8209892
60.5683307,56.8225575
60.5762204,56.8200766
60.5769879,56.8170630
60.5726787,56.8231960
60.5754868,56.8215892
60.5794313,56.8191726
60.5777979,56.8221172
60.5810388,56.8185251
60.5687550,56.8196430
60.5702726,56.8186828
60.5795701,56.8245983
60.5765292,56.8188048
60.5760587,56.8181213
60.5792996,56.8265401
60.5820948,56.8272506
60.5821479,56.8242401
60.5883220,56.8264513
60.5878689,56.8223681
60.5837816,56.8206811
60.5841732,56.8224565
60.5825530,56.8242203
60.5867661,56.8231868
60.5901668,56.8266044
60.5820925,56.8210633
60.5853269,56.8258937
60.5838626,56.8241194
60.5862054,56.8252138
60.5883097,56.8245295
60.5905307,56.8225066
60.5829368,56.8250679
60.5874714,56.8277312
60.5866691,56.8278219
60.5817349,56.8213272
60.5945944,56.8230320
60.5936976,56.8291897
60.5921791,56.8296644
60.5969780,56.8270621
60.5935784,56.8248728
60.5957364,56.8212930
60.6009580,56.8272735
60.5944655,56.8287628
60.5939570,56.8248675
60.5999676,56.8288698
60.5927063,56.8226422
60.5974540,56.8290897
60.5973753,56.8228144
60.5894031,56.8245483
60.5921251,56.8243554
60.6032218,56.8247345
60.5909031,56.8227877
60.5993083,56.8235811
60.6022805,56.8264183
60.5912394,56.8288590
60.5874387,56.8189320
60.5991360,56.8192201
60.5945866,56.8136761
60.5873858,56.8183371
60.5896282,56.8217766
60.5954166,56.8171025
60.5920833,56.8143789
60.5892088,56.8212941
60.5894271,56.8194750
60.5892243,56.8182793
60.5941472,56.8207672
60.5948639,56.8137719
60.5912288,56.8163319
60.5986663,56.8176534
60.5962650,56.8179751
60.5911205,56.8186187
60.5983160,56.8201766
60.5956624,56.8182346
60.5988039,56.8180062
60.5920496,56.8217032
60.5852164,56.8108182
60.5870243,56.8122812
60.5827403,56.8107002
60.5825421,56.8117757
60.5855382,56.8171014
60.5835356,56.8092719
60.5911541,56.8131489
60.5855377,56.8125606
60.5902698,56.8129519
60.5819585,56.8138871
60.5899276,56.8164048
60.5790309,56.8166201
60.5919922,56.8120294
60.5863197,56.8164681
60.5897681,56.8135067
60.5918130,56.8136312
60.5861199,56.8177632
60.5847256,56.8154228
60.5809242,56.8123293
60.5798662,56.8150642
60.6042397,56.8120226
60.6047949,56.8099138
60.5997372,56.8129876
60.6089381,56.8133975
60.6044891,56.8102632
60.6069707,56.8175534
60.5973731,56.8121669
60.5983552,56.8120031
60.6070009,56.8102561
60.6082171,56.8141033
60.6053656,56.8166772
60.6000413,56.8155144
60.6055348,56.8167649
60.5993948,56.8172261
60.6051781,56.8123372
60.6024584,56.8167061
60.6048097,56.8113469
60.6028668,56.8180218
60.6066139,56.8157752
60.6096607,56.8153144
60.6137032,56.8158702
60.6102497,56.8181271
60.6131014,56.8218781
60.6115736,56.8177864
60.6118965,56.8173652
60.6094943,56.8177470
60.6024373,56.8191349
60.6112243,56.8217062
60.6113222,56.8236922
60.6127093,56.8188707
60.6113974,56.8181651
60.6092158,56.8184170
60.6103919,56.8154032
60.6069693,56.8161206
60.6022355,56.8202327
60.6062534,56.8180837
60.6070209,56.8212776
60.6074673,56.8156444
60.6061109,56.8204895
60.6129836,56.8197243
60.6222612,56.8127605
60.6195768,56.8119090
60.6116810,56.8171217
60.6198554,56.8117912
60.6098129,56.8151410
60.6198094,56.8116644
60.6113029,56.8156598
60.6185937,56.8113752
60.6145396,56.8138048
60.6204225,56.8127890
60.6184563,56.8152606
60.6165974,56.8156988
60.6178846,56.8116586
60.6223425,56.8118839
60.6121119,56.8132220
60.6176532,56.8129734
60.6138565,56.8140593
60.6164343,56.8124654
60.6113927,56.8164603
60.6218766,56.8156462
60.5926679,56.8118000
60.6028046,56.8066573
60.5912356,56.8116783
60.5991738,56.8123961
60.5972249,56.8057968
60.5988108,56.8075921
60.5943257,56.8044480
60.5939682,56.8120837
60.5934658,56.8070281
60.5970175,56.8120191
60.6004652,56.8092679
60.5959408,56.8051274
60.5908904,56.8078419
60.5978781,56.8125880
60.6001666,56.8093384
60.5987620,56.8047692
60.5967009,56.8094975
60.6001188,56.8061204
60.5966067,56.8055412
60.6015638,56.8121722
60.5861746,56.8044283
60.5874424,56.8107009
60.5899149,56.8054647
60.5869483,56.8067937
60.5802717,56.8057372
60.5884894,56.8062310
60.5814927,56.8076829
60.5830412,56.8028814
60.5892789,56.8040000
60.5884361,56.8041006
60.5762591,56.8069336
60.5787626,56.8054783
60.5817353,56.8088886
60.5828566,56.8051930
60.5831023,56.8111762
60.5803224,56.8073322
60.5767410,56.8088457
60.5918308,56.8069750
60.5816921,56.8062708
60.5791461,56.8077362
60.5640043,56.8066513
60.5711387,56.8100401
60.5652775,56.8081441
60.5676095,56.8028847
60.5692832,56.8061175
60.5667634,56.8094814
60.5711884,56.8078572
60.5728375,56.8102095
60.5721490,56.8069706
60.5700584,56.8109845
60.5722684,56.8024075
60.5714519,56.8057575
60.5704528,56.8066337
60.5733361,56.8039982
60.5682060,56.8048828
60.5655730,56.8068560
60.5711885,56.8070897
60.5729091,56.8047231
60.5648799,56.8049529
60.5766804,56.8068313
60.5354625,56.8274172
60.5364187,56.8338983
60.5406166,56.8292548
60.5309388,56.8324476
60.5399434,56.8288773
60.5308460,56.8285005
60.5378396,56.8274856
60.5387740,56.8329595
60.5348083,56.8281536
60.5430826,56.8315684
60.5311971,56.8298968
60.5298952,56.8298448
60.5413518,56.8308772
60.5439767,56.8297357
60.5327580,56.8292940
60.5339300,56.8284328
60.5365094,56.8274298
60.5388739,56.8343699
60.5311028,56.8282034
60.5328231,56.8295364
60.5576894,56.8362141
60.5468353,56.8347670
60.5539001,56.8384809
60.5527766,56.8364854
60.5566213,56.8320031
60.5585599,56.8351519
60.5543396,56.8305410
60.5480447,56.8310290
60.5457475,56.8321423
60.5541290,56.8378320
60.5520866,56.8321476
60.5507285,56.8377303
60.5509079,56.8364796
60.5460055,56.8321996
60.5497308,56.8307280
60.5572527,56.8337568
60.5552282,56.8340934
60.5496018,56.8386147
60.5578455,56.8356233
60.5575295,56.8375410
60.5523299,56.8229069
60.5420283,56.8218698
60.5413550,56.8197091
60.5440412,56.8211063
60.5454753,56.8177153
60.5514488,56.8225962
60.5457479,56.8256110
60.5424108,56.8207235
60.5445904,56.8258633
60.5477188,56.8196258
60.5472935,56.8196942
60.5458223,56.8221967
60.5430471,56.8214777
60.5475962,56.8176422
60.5472208,56.8216376
60.5544113,56.8218581
60.5432030,56.8190606
60.5400138,56.8233805
60.5511572,56.8247860
60.5463504,56.8247555
60.5320937,56.8166106
60.5325334,56.8148120
60.5322895,56.8202494
60.5390042,56.8197147
60.5366885,56.8203969
60.5366316,56.8184210
60.5359307,56.8208147
60.5435274,56.8192298
60.5332600,56.8218140
60.5386116,56.8171315
60.5328266,56.8190463
60.5363516,56.8176166
60.5337297,56.8201340
60.5423884,56.8204757
60.5329311,56.8205048
60.5346142,56.8143446
60.5363849,56.8146484
60.5423063,56.8163059
60.5321387,56.8191754
60.5367963,56.8198869
60.5394298,56.8094100
60.5381519,56.8130327
60.5476254,56.8085072
60.5430568,56.8067329
60.5470055,56.8060633
60.5379311,56.8118492
60.5419895,56.8142446
60.5415532,56.8085786
60.5395217,56.8078712
60.5511513,56.8108406
60.5384999,56.8102975
60.5500154,56.8100796
60.5427266,56.8103527
60.5402268,56.8101896
60.5456767,56.8128754
60.5471700,56.8138090
60.5446600,56.8088560
60.5470070,56.8137554
60.5488060,56.8085154
60.5420611,56.8109360
60.5609957,56.8183931
60.5553072,56.8150974
60.5463042,56.8161237
60.5552325,56.8155036
60.5600626,56.8151252
60.5488091,56.8165845
60.5530795,56.8131160
60.5555966,56.8135192
60.5544981,56.8158189
60.5543523,56.8185313
60.5530793,56.8182083
60.5496611,56.8185475
60.5493776,56.8162545
60.5474911,56.8144896
60.5525507,56.8122077
60.5510739,56.8165010
60.5514623,56.8180300
60.5560121,56.8182611
60.5591293,56.8148897
60.5482072,56.8177972
60.5635283,56.8264771
60.5637578,56.8257353
60.5625907,56.8251177
60.5541367,56.8257359
60.5606267,56.8228410
60.5618185,56.8267311
60.5521232,56.8238661
60.5655626,56.8262585
60.5569514,56.8220389
60.5649879,56.8255352
60.5535454,56.8252139
60.5651517,56.8219339
60.5590383,56.8237098
60.5637078,56.8279063
60.5598619,56.8263443
60.5678019,56.8249656
60.5572659,56.8229661
60.5589362,56.8224355
60.5589720,56.8260307
60.5657931,56.8210925
60.5560967,56.8321695
60.5599018,56.8312086
60.5541268,56.8338450
60.5576082,56.8318477
60.5567924,56.8341129
60.5586882,56.8268541
60.5586369,56.8304033
60.5601154,56.8318657
60.5546763,56.8274457
60.5592686,56.8269110
60.5523850,56.8318228
60.5549540,56.8295690
60.5571165,56.8291436
60.5610170,56.8288732
60.5549040,56.8329748
60.5618035,56.8306799
60.5588898,56.8338573
60.5552833,56.8285270
60.5619316,56.8293330
60.5518067,56.8297017
60.5399864,56.8254002
60.5368072,56.8307904
60.5293138,56.8286542
60.5351284,56.8295600
60.5382751,56.8272477
60.5362695,56.8305622
60.5438555,56.8253307
60.5408866,56.8267470
60.5330998,56.8282878
60.5420025,56.8298070
60.5302409,56.8254883
60.5325589,56.8236090
60.5340080,56.8288730
60.5350820,56.8242438
60.5429993,56.8290615
60.5419750,56.8281360
60.5410997,56.8241368
60.5350581,56.8293734
60.5304699,56.8246125
60.5368193,56.8279806
60.5488351,56.8249967
60.5474980,56.8322521
60.5533018,56.8325469
60.5458170,56.8304776
60.5540656,56.8288254
60.5418069,56.8314334
60.5429808,56.8287793
60.5470962,56.8304790
60.5486198,56.8329813
60.5442973,56.8281360
60.5471247,56.8266792
60.5472587,56.8261595
60.5426416,56.8310691
60.5522058,56.8309182
60.5455114,56.8329000
60.5514699,56.8270172
60.5503937,56.8270204
60.5506446,56.8286218
60.5434578,56.8273786
60.5489745,56.8305511
60.5489138,56.8078453
60.5574570,56.8029990
60.5527400,56.8096171
60.5581665,56.8092964
60.5613687,56.8076594
60.5473602,56.8072204
60.5510362,56.8067014
60.5564753,56.8021319
60.5578105,56.8071406
60.5608538,56.8033686
60.5541162,56.8057785
60.5587625,56.8038185
60.5538894,56.8079250
60.5500850,56.8081586
60.5522291,56.8062387
60.5558261,56.8090927
60.5561069,56.8037499
60.5549410,56.8045342
60.5613279,56.8044332
60.5511097,56.8041625
60.6184436,56.8065733
60.6040609,56.8057405
60.6083875,56.8032707
60.6113128,56.8032613
60.6130435,56.8092936
60.6112912,56.8072591
60.6105971,56.8056676
60.6082202,56.8076841
60.6173537,56.8046543
60.6139930,56.8045383
60.6077763,56.8046042
60.6143246,56.8053526
60.6092605,56.8048388
60.6055920,56.8080064
60.6054641,56.8064748
60.6085062,56.8066982
60.6167061,56.8051461
60.6091890,56.8032090
60.6108172,56.8064859
60.6073869,56.8052442
60.6212945,56.8069922
60.6254062,56.8112427
60.6271450,56.8071049
60.6313515,56.8110069
60.6304887,56.8081568
60.6167619,56.8108711
60.6219482,56.8111697
60.6292640,56.8097099
60.6198713,56.8112777
60.6286280,56.8101674
60.6246668,56.8149729
60.6221797,56.8096262
60.6232944,56.8114059
60.6192444,56.8085703
60.6201352,56.8137244
60.6216937,56.8105079
60.6290649,56.8088826
60.6231446,56.8151874
60.6300378,56.8135174
60.6307831,56.8133384
60.6273748,56.8187915
60.6225712,56.8209118
60.6223994,56.8239155
60.6253969,56.8186446
60.6324943,56.8194227
60.6297766,56.8226484
60.6240769,56.8200890
60.6266073,56.8205434
60.6247212,56.8209054
60.6206039,56.8170392
60.6258039,56.8247663
60.6190455,56.8180540
60.6221715,56.8196816
60.6178007,56.8228654
60.6210023,56.8217474
60.6236952,56.8246423
60.6170688,56.8221078
60.6248408,56.8244461
60.6226299,56.8191092
60.6281233,56.8194050
60.6316236,56.8311302
60.6317165,56.8289334
60.6252694,56.8282420
60.6283778,56.8299771
60.6185128,56.8325095
60.6281256,56.8320271
60.6269006,56.8316383
60.6212646,56.8319370
60.6185281,56.8323711
60.6232334,56.8283564
60.6258858,56.8288985
60.6234333,56.8275610
60.6279676,56.8296094
60.6292057,56.8279460
60.6281204,56.8301588
60.6225071,56.8325283
60.6267719,56.8283320
60.6272367,56.8288204
60.6189612,56.8287590
60.6196664,56.8306761
60.5999263,56.8352202
60.6025013,56.8327723
60.5980608,56.8317712
60.5969516,56.8372526
60.5957721,56.8322988
60.5998814,56.8347226
60.5956857,56.8340724
60.5965871,56.8341858
60.5993177,56.8322382
60.5971298,56.8367792
60.5996032,56.8375443
60.5974839,56.8354595
60.5948522,56.8377430
60.6015839,56.8348053
60.5972012,56.8326421
60.5963720,56.8375552
60.5984340,56.8330708
60.6006589,56.8363930
60.5926228,56.8356644
60.5960761,56.8338168
60.5676455,56.8415316
60.5762450,56.8392850
60.5653010,56.8375541
60.5706045,56.8364765
60.5713799,56.8405989
60.5645277,56.8401710
60.5643411,56.8386268
60.5759137,56.8394452
60.5712749,56.8377991
60.5644607,56.8399355
60.5667506,56.8385916
60.5782132,56.8380689
60.5745441,56.8417705
60.5662775,56.8403506
60.5657082,56.8395573
60.5656225,56.8406425
60.5640343,56.8393657
60.5687100,56.8386117
60.5720362,56.8428481
60.5663679,56.8411210
60.5656808,56.8476352
60.5597999,56.8430374
60.5586576,56.8474968
60.5596112,56.8445817
60.5657026,56.8473138
60.5628658,56.8465308
60.5558534,56.8451875
60.5561939,56.8439239
60.5566397,56.8429768
60.5526561,56.8461215
60.5664911,56.8433551
60.5597719,56.8411871
60.5628431,56.8423013
60.5627457,56.8493977
60.5625041,56.8488881
60.5580583,56.8418635
60.5607284,56.8479824
60.5598337,56.8453800
60.5680333,56.8453989
60.5588720,56.8420437
60.5809801,56.8489981
60.5806472,56.8537001
60.5684306,56.8496351
60.5770714,56.8479915
60.5762164,56.8475685
60.5749833,56.8534704
60.5815459,56.8502186
60.5764014,56.8533677
60.5740636,56.8558889
60.5685440,56.8493213
60.5694917,56.8490648
60.5776343,56.8526940
60.5723443,56.8498289
60.5731580,56.8545693
60.5792566,56.8509259
60.5751552,56.8517548
60.5793199,56.8555832
60.5790399,56.8517920
60.5737785,56.8525907
60.5751513,56.8535675
60.5873385,56.8395995
60.5822665,56.8413211
60.5831034,56.8449556
60.5932241,56.8465740
60.5829409,56.8417983
60.5956184,56.8404035
60.5908694,56.8407714
60.5871604,56.8458511
60.5843880,56.8420696
60.5846666,56.8416048
60.5969389,56.8423361
60.5941875,56.8415604
60.5856868,56.8412535
60.5850585,56.8435795
60.5909964,56.8448195
60.5927518,56.8424975
60.5911365,56.8419066
60.5928061,56.8388940
60.5945452,56.8417949
60.5888706,56.8404860
60.6049431,56.8422452
60.6137155,56.8416856
60.6066739,56.8401702
60.6125883,56.8391217
60.6018365,56.8416500
60.6160729,56.8408985
60.6144317,56.8389646
60.6146250,56.8401879
60.6043267,56.8436948
60.6044787,56.8378808
60.6115256,56.8405777
60.6134993,56.8372040
60.6159939,56.8403068
60.6081199,56.8413611
60.6100401,56.8449895
60.6024008,56.8395263
60.6139617,56.8423601
60.6058298,56.8447116
60.6048169,56.8391072
60.6084986,56.8449341
60.6025297,56.8472494
60.6022883,56.8461061
60.5932326,56.8503397
60.5986385,56.8497918
60.6036267,56.8523956
60.6017268,56.8461750
60.5967431,56.8490198
60.6033222,56.8489055
60.6017580,56.8466910
60.6036778,56.8483238
60.6023590,56.8521715
60.6077796,56.8494671
60.5996280,56.8544186
60.6055953,56.8497027
60.5954062,56.8521437
60.5984812,56.8480110
60.6014429,56.8513579
60.6009981,56.8521453
60.6067900,56.8505689
60.5961012,56.8518281
60.5953619,56.8544582
60.5854304,56.8538426
60.5892322,56.8512510
60.5906102,56.8514316
60.5936123,56.8528037
60.5866919,56.8551762
60.5848777,56.8539840
60.5888824,56.8509628
60.5820012,56.8540669
60.5856883,56.8509934
60.5873740,56.8565075
60.5861701,56.8543738
60.5827332,56.8561840
60.5812790,56.8544622
60.5822690,56.8555394
60.5924244,56.8523716
60.5842485,56.8529330
60.5881429,56.8534137
60.5896788,56.8497904
60.5883115,56.8546019
60.6281668,56.8437339
60.6302953,56.8425925
60.6294231,56.8426473
60.6179240,56.8436770
60.6266279,56.8408815
60.6290757,56.8462430
60.6241985,56.8465674
60.6196437,56.8486163
60.6274709,56.8450515
60.6293683,56.8433816
60.6232389,56.8440465
60.6242200,56.8421258
60.6194155,56.8441238
60.6233830,56.8451811
60.6266439,56.8447247
60.6233324,56.8486499
60.6197310,56.8467960
60.6250123,56.8438006
60.6280052,56.8438431
60.6269472,56.8465764
60.6114305,56.8517868
60.6227623,56.8503236
60.6224382,56.8542461
60.6189870,56.8536355
60.6194747,56.8552420
60.6155807,56.8543893
60.6190935,56.8555608
60.6126339,56.8547437
60.6151929,56.8559580
60.6167841,56.8519235
60.6223623,56.8516595
60.6152701,56.8546884
60.6171049,56.8531813
60.6142555,56.8565664
60.6221699,56.8518691
60.6094207,56.8526633
60.6172919,56.8522306
60.6184511,56.8561389
60.6186283,56.8564063
60.6220598,56.8548203
60.6361340,56.8540860
60.6306239,56.8498859
60.6399057,56.8540467
60.6300854,56.8547275
60.6315330,56.8543138
60.6324056,56.8576721
60.6400060,56.8537859
60.6393594,56.8533134
60.6387667,56.8539355
60.6381510,56.8535144
60.6328535,56.8519542
60.6357042,56.8562942
60.6378734,56.8545754
60.6280469,56.8539959
60.6391346,56.8557368
60.6264545,56.8515436
60.6301116,56.8571213
60.6339677,56.8498215
60.6289203,56.8515960
60.6366083,56.8503341
60.6199938,56.8470157
60.6101715,56.8481416
60.6141071,56.8459396
60.6121923,56.8510084
60.6158977,56.8525139
60.6119784,56.8488368
60.6087559,56.8462994
60.6184771,56.8456818
60.6206520,56.8473240
60.6168009,56.8460243
60.6108049,56.8505904
60.6097383,56.8472180
60.6196284,56.8519842
60.6112856,56.8485249
60.6097240,56.8468596
60.6147778,56.8520403
60.6070228,56.8498085
60.6179971,56.8474665
60.6153687,56.8453718
60.6172532,56.8465979
60.6385463,56.8368793
60.6298901,56.8429064
60.6354019,56.8351031
60.6254648,56.8386957
60.6322540,56.8394269
60.6370879,56.8416864
60.6332803,56.8376902
60.6297337,56.8350646
60.6310514,56.8406203
60.6332658,56.8413139
60.6357027,56.8424068
60.6395045,56.8399232
60.6285237,56.8382515
60.6339975,56.8391076
60.6294917,56.8389934
60.6286635,56.8355618
60.6314540,56.8390831
60.6327540,56.8359616
60.6332031,56.8405483
60.6305292,56.8371212
60.6366090,56.8272519
60.6403910,56.8242973
60.6312484,56.8262795
60.6402860,56.8302015
60.6428609,56.8258585
60.6299063,56.8271570
60.6401663,56.8255883
60.6456919,56.8256320
60.6388629,56.8296037
60.6422299,56.8251659
60.6350924,56.8262371
60.6332355,56.8233014
60.6381234,56.8271518
60.6351752,56.8246725
60.6393942,56.8305034
60.6394836,56.8304128
60.6434596,56.8239358
60.6439490,56.8297830
60.6420077,56.8284422
60.6389766,56.8235540
60.6494948,56.8318061
60.6522951,56.8392168
60.6503644,56.8325810
60.6473535,56.8362933
60.6515522,56.8356144
60.6463455,56.8329251
60.6524023,56.8365046
60.6415769,56.8359881
60.6449755,56.8330239
60.6441525,56.8375561
60.6485158,56.8311555
60.6455550,56.8396756
60.6475429,56.8318207
60.6531022,56.8331475
60.6494513,56.8317753
60.6479733,56.8318573
60.6549067,56.8332297
60.6480929,56.8362512
60.6536112,56.8338496
60.6456243,56.8315832
60.6559068,56.8472006
60.6568684,56.8521250
60.6586427,56.8484368
60.6480340,56.8465228
60.6536719,56.8497589
60.6470197,56.8484728
60.6574570,56.8479166
60.6496730,56.8522284
60.6567346,56.8473824
60.6517226,56.8531139
60.6603628,56.8493303
60.6566089,56.8530775
60.6479177,56.8532690
60.6472645,56.8494670
60.6461669,56.8473443
60.6512810,56.8536064
60.6565900,56.8470887
60.6516381,56.8502670
60.6538040,56.8520043
60.6563564,56.8486451
60.6430218,56.8474641
60.6417982,56.8435120
60.6438165,56.8423257
60.6408178,56.8424547
60.6512381,56.8466421
60.6454727,56.8493765
60.6498695,56.8456916
60.6424612,56.8493673
60.6499693,56.8426928
60.6430978,56.8448475
60.6376643,56.8468753
60.6389937,56.8454652
60.6517681,56.8455412
60.6507529,56.8457167
60.6429052,56.8469931
60.6478242,56.8473805
60.6452554,56.8453573
60.6463262,56.8418762
60.6442612,56.8459326
60.6497972,56.8440317
60.6664577,56.8431069
60.6565943,56.8418694
60.6620825,56.8383398
60.6568329,56.8434313
60.6613660,56.8393613
60.6623398,56.8440921
60.6557900,56.8430621
60.6542679,56.8433660
60.6594911,56.8425357
60.6564694,56.8400259
60.6672291,56.8420918
60.6626038,56.8389505
60.6653638,56.8392345
60.6636955,56.8444850
60.6651732,56.8385366
60.6648523,56.8418708
60.6605414,56.8462093
60.6656757,56.8405865
60.6577533,56.8457891
60.6648096,56.8410828
60.6541976,56.8244696
60.6435272,56.8245341
60.6442632,56.8251140
60.6450037,56.8235848
60.6469492,56.8228395
60.6528480,56.8267080
60.6469040,56.8208129
60.6524761,56.8211741
60.6528909,56.8255431
60.6543216,56.8218260
60.6492632,56.8212896
60.6490214,56.8262277
60.6537824,56.8202699
60.6449287,56.8231992
60.6532186,56.8268056
60.6540893,56.8243767
60.6496262,56.8205489
60.6481144,56.8208738
60.6486521,56.8204714
60.6442887,56.8217285
60.6039189,56.8385341
60.6080247,56.8366310
60.6131053,56.8349722
60.6091101,56.8372457
60.6053709,56.8379942
60.6108201,56.8404742
60.6067432,56.8377350
60.6073345,56.8379107
60.6061687,56.8394046
60.6110387,56.8406686
60.6100647,56.8347794
60.6158135,56.8369318
60.6121134,56.8363628
60.6145450,56.8371286
60.6044352,56.8401508
60.6132583,56.8377733
60.6086343,56.8358582
60.6017781,56.8353829
60.6044877,56.8328020
60.6114880,56.8397729
60.5653609,56.8363958
60.5611546,56.8348430
60.5666901,56.8377659
60.5638123,56.8357302
60.5686645,56.8395588
60.5665220,56.8381471
60.5565941,56.8361273
60.5605536,56.8414642
60.5707173,56.8364957
60.5644933,56.8408278
60.5571855,56.8390785
60.5611535,56.8385481
60.5645598,56.8376912
60.5611151,56.8386639
60.5669617,56.8352939
60.5590859,56.8413343
60.5669905,56.8410472
60.5606264,56.8348719
60.5670793,56.8402079
60.5622139,56.8403523
60.5360173,56.8601179
60.5382479,56.8631012
60.5378217,56.8612037
60.5376499,56.8565182
60.5373495,56.8632505
60.5348657,56.8642051
60.5421281,56.8616768
60.5387616,56.8572351
60.5296913,56.8605753
60.5361791,56.8624181
60.5446819,56.8616798
60.5410040,56.8571172
60.5342030,56.8601607
60.5371349,56.8572237
60.5392154,56.8625798
60.5430991,56.8585371
60.5400730,56.8603018
60.5341603,56.8641919
60.5383329,56.8612089
60.5327953,56.8604883
60.5619875,56.8657454
60.5575313,56.8733627
60.5592059,56.8665406
60.5550487,56.8685582
60.5507768,56.8697163
60.5560768,56.8659935
60.5587290,56.8678005
60.5605800,56.8702338
60.5550993,56.8660069
60.5555085,56.8734535
60.5604184,56.8668105
60.5649804,56.8706410
60.5590852,56.8702723
60.5528647,56.8679968
60.5629474,56.8663655
60.5631106,56.8694969
60.5638616,56.8674281
60.5569474,56.8699244
60.5506277,56.8666959
60.5613369,56.8724835
60.5512760,56.8485132
60.5461610,56.8523640
60.5419409,56.8542900
60.5498378,56.8541302
60.5501049,56.8511217
60.5485889,56.8493071
60.5534672,56.8494623
60.5456770,56.8483645
60.5480654,56.8523515
60.5452170,56.8562839
60.5420164,56.8537487
60.5554210,56.8515967
60.5454935,56.8504838
60.5517569,56.8547942
60.5484496,56.8538101
60.5474867,56.8567808
60.5548207,56.8534999
60.5437306,56.8508581
60.5424921,56.8516217
60.5451271,56.8498762
60.5640625,56.8526295
60.5541613,56.8526904
60.5666685,56.8547281
60.5634194,56.8550474
60.5555450,56.8518660
60.5574714,56.8557489
60.5624003,56.8540823
60.5651626,56.8537673
60.5616301,56.8590740
60.5596169,56.8539274
60.5664800,56.8536677
60.5661723,56.8573106
60.5542451,56.8531374
60.5611812,56.8509379
60.5570602,56.8521765
60.5639500,56.8526497
60.5668477,56.8546766
60.5605650,56.8506871
60.5602153,56.8520787
60.5609608,56.8553244
60.5524801,56.8661558
60.5609841,56.8654460
60.5564655,56.8642250
60.5576055,56.8642830
60.5497031,56.8640965
60.5548243,56.8659227
60.5596903,56.8631157
60.5610988,56.8634010
60.5544118,56.8581883
60.5604631,56.8602635
60.5575325,56.8643030
60.5490144,56.8644489
60.5533678,56.8640288
60.5630624,56.8621675
60.5572257,56.8664727
60.5536124,56.8599409
60.5537933,56.8597442
60.5629035,56.8608371
60.5534878,56.8595480
60.5596229,56.8660800
60.5754752,56.8654860
60.5750996,56.8645511
60.5814123,56.8590035
60.5733361,56.8643065
60.5740341,56.8598926
60.5800086,56.8608721
60.5760239,56.8634689
60.5758261,56.8580381
60.5741832,56.8610204
60.5825202,56.8614777
60.5763790,56.8634423
60.5730372,56.8625749
60.5804748,56.8588227
60.5793203,56.8584948
60.5774177,56.8660141
60.5853987,56.8615726
60.5762170,56.8614758
60.5752605,56.8655942
60.5725191,56.8597922
60.5825831,56.8639513
60.6025777,56.8620866
60.5906735,56.8647402
60.5960744,56.8620931
60.5901655,56.8618734
